datetime_utc,crypto,known,unknown
2023-02-16 19:39:22.325230,BTC,"$20,000,000","$100,000,000"
2023-02-16 19:39:22.325230,ETH,"$20,000,000","$100,000,000"
2023-02-16 19:39:22.325230,Stable Coin (Transfer),"$50,000,000","$200,000,000"
2023-02-16 19:39:22.325230,Stable Coin (Mint/Burn),"$50,000,000",-
2023-02-16 19:39:22.325230,SOL,"$10,000,000","$50,000,000"
2023-02-16 19:39:22.325230,XRP,"$10,000,000","$50,000,000"
2023-02-16 19:39:22.325230,EOS,"$5,000,000","$10,000,000"
2023-02-16 19:39:22.325230,XLM,"$5,000,000","$10,000,000"
2023-02-16 19:39:22.325230,ERC20,"$5,000,000","$20,00,000"
2023-02-16 19:39:22.325230,NEO,"$1,000,000","$5,000,000"
2023-02-16 19:39:22.325230,TRX,"$5,000,000","$20,000,000"
2023-02-16 19:39:22.325230,XTZ,"$2,500,000","$10,000,000"
2023-02-16 19:39:22.325230,ICX,"$1,000,000","$5,000,000"
2023-02-16 19:39:22.325230,Scams,"$25,000",-
2023-02-16 19:39:22.325230,Donations,"$1,000,000",-
